1_year_treasury_bill,10_year_treasury_constant_maturity,time_period,federal_funds
0.77,2.34,2017-02-08,0.66
0.78,2.4,2017-02-07,0.66
0.77,2.42,2017-02-06,0.66
,,2017-02-05,0.66
,,2017-02-04,0.66
0.8,2.49,2017-02-03,0.66
0.82,2.48,2017-02-02,0.66
0.81,2.48,2017-02-01,0.66
0.82,2.45,2017-01-31,0.56
0.77,2.49,2017-01-30,0.66
,,2017-01-29,0.66
,,2017-01-28,0.66
0.78,2.49,2017-01-27,0.66
0.78,2.51,2017-01-26,0.66
0.78,2.53,2017-01-25,0.66
0.77,2.47,2017-01-24,0.66
0.76,2.41,2017-01-23,0.66
,,2017-01-22,0.66
,,2017-01-21,0.66
0.79,2.48,2017-01-20,0.66
0.8,2.47,2017-01-19,0.66
0.79,2.42,2017-01-18,0.66
0.77,2.33,2017-01-17,0.66
-9999.0,-9999.0,2017-01-16,0.66
,,2017-01-15,0.66
,,2017-01-14,0.66
0.79,2.4,2017-01-13,0.66
0.79,2.36,2017-01-12,0.66
0.8,2.38,2017-01-11,0.66
0.8,2.38,2017-01-10,0.66
0.8,2.38,2017-01-09,0.66
,,2017-01-08,0.66
,,2017-01-07,0.66
0.83,2.42,2017-01-06,0.66
0.81,2.37,2017-01-05,0.66
0.85,2.46,2017-01-04,0.66
0.87,2.45,2017-01-03,0.66
-9999.0,-9999.0,2017-01-02,0.55
,,2017-01-01,0.55
,,2016-12-31,0.55
0.81,2.45,2016-12-30,0.55
0.81,2.49,2016-12-29,0.66
0.86,2.51,2016-12-28,0.66
0.85,2.57,2016-12-27,0.66
-9999.0,-9999.0,2016-12-26,0.66
,,2016-12-25,0.66
,,2016-12-24,0.66
0.84,2.55,2016-12-23,0.66
0.84,2.55,2016-12-22,0.66
0.85,2.55,2016-12-21,0.66
0.87,2.57,2016-12-20,0.66
0.87,2.54,2016-12-19,0.66
,,2016-12-18,0.66
,,2016-12-17,0.66
0.88,2.6,2016-12-16,0.66
0.88,2.6,2016-12-15,0.66
0.89,2.54,2016-12-14,0.41
0.86,2.48,2016-12-13,0.41
0.83,2.49,2016-12-12,0.41
,,2016-12-11,0.41
,,2016-12-10,0.41
0.83,2.47,2016-12-09,0.41
0.82,2.4,2016-12-08,0.41
0.83,2.34,2016-12-07,0.41
0.81,2.39,2016-12-06,0.41
0.78,2.39,2016-12-05,0.41
,,2016-12-04,0.41
,,2016-12-03,0.41
0.76,2.4,2016-12-02,0.41
0.78,2.45,2016-12-01,0.41
0.77,2.37,2016-11-30,0.31
0.75,2.3,2016-11-29,0.41
0.76,2.32,2016-11-28,0.41
,,2016-11-27,0.41
,,2016-11-26,0.41
0.78,2.36,2016-11-25,0.41
-9999.0,-9999.0,2016-11-24,0.41
0.77,2.36,2016-11-23,0.41
0.75,2.31,2016-11-22,0.41
0.75,2.33,2016-11-21,0.41
,,2016-11-20,0.41
,,2016-11-19,0.41
0.75,2.34,2016-11-18,0.41
0.75,2.29,2016-11-17,0.41
0.74,2.22,2016-11-16,0.41
0.76,2.23,2016-11-15,0.41
0.75,2.23,2016-11-14,0.41
,,2016-11-13,0.41
,,2016-11-12,0.41
-9999.0,-9999.0,2016-11-11,0.41
0.71,2.15,2016-11-10,0.41
0.71,2.07,2016-11-09,0.41
0.7,1.88,2016-11-08,0.41
0.61,1.83,2016-11-07,0.41
,,2016-11-06,0.41
,,2016-11-05,0.41
0.6,1.79,2016-11-04,0.41
0.62,1.82,2016-11-03,0.41
0.62,1.81,2016-11-02,0.41
0.63,1.83,2016-11-01,0.41
0.64,1.84,2016-10-31,0.31
,,2016-10-30,0.41
,,2016-10-29,0.41
0.64,1.86,2016-10-28,0.41
0.66,1.85,2016-10-27,0.41
0.65,1.79,2016-10-26,0.41
0.64,1.77,2016-10-25,0.41
0.64,1.77,2016-10-24,0.41
,,2016-10-23,0.41
,,2016-10-22,0.41
0.64,1.74,2016-10-21,0.41
0.64,1.76,2016-10-20,0.41
0.63,1.76,2016-10-19,0.41
0.64,1.75,2016-10-18,0.41
0.64,1.77,2016-10-17,0.41
,,2016-10-16,0.41
,,2016-10-15,0.41
0.65,1.8,2016-10-14,0.41
0.65,1.75,2016-10-13,0.41
0.67,1.79,2016-10-12,0.41
0.68,1.77,2016-10-11,0.41
-9999.0,-9999.0,2016-10-10,0.4
,,2016-10-09,0.4
,,2016-10-08,0.4
0.63,1.73,2016-10-07,0.4
0.62,1.75,2016-10-06,0.4
0.62,1.72,2016-10-05,0.4
0.62,1.69,2016-10-04,0.4
0.61,1.63,2016-10-03,0.4
,,2016-10-02,0.29
,,2016-10-01,0.29
0.57,1.6,2016-09-30,0.29
0.57,1.56,2016-09-29,0.4
0.58,1.57,2016-09-28,0.4
0.56,1.56,2016-09-27,0.4
0.56,1.59,2016-09-26,0.4
,,2016-09-25,0.4
,,2016-09-24,0.4
0.58,1.62,2016-09-23,0.4
0.58,1.63,2016-09-22,0.4
0.6,1.66,2016-09-21,0.4
0.6,1.69,2016-09-20,0.4
0.59,1.7,2016-09-19,0.4
,,2016-09-18,0.4
,,2016-09-17,0.4
0.6,1.7,2016-09-16,0.4
0.59,1.71,2016-09-15,0.4
0.61,1.7,2016-09-14,0.4
0.62,1.73,2016-09-13,0.4
0.55,1.68,2016-09-12,0.4
,,2016-09-11,0.4
,,2016-09-10,0.4
0.56,1.67,2016-09-09,0.4
0.55,1.61,2016-09-08,0.4
0.55,1.54,2016-09-07,0.4
0.54,1.55,2016-09-06,0.4
-9999.0,-9999.0,2016-09-05,0.4
,,2016-09-04,0.4
,,2016-09-03,0.4
0.57,1.6,2016-09-02,0.4
0.58,1.57,2016-09-01,0.4
0.59,1.58,2016-08-31,0.3
0.59,1.57,2016-08-30,0.4
0.6,1.57,2016-08-29,0.4
,,2016-08-28,0.4
,,2016-08-27,0.4
0.6,1.62,2016-08-26,0.4
0.58,1.58,2016-08-25,0.4
0.58,1.56,2016-08-24,0.4
0.57,1.55,2016-08-23,0.4
0.57,1.55,2016-08-22,0.4
,,2016-08-21,0.4
,,2016-08-20,0.4
0.58,1.58,2016-08-19,0.4
0.57,1.53,2016-08-18,0.4
0.57,1.56,2016-08-17,0.4
0.56,1.57,2016-08-16,0.4
0.54,1.55,2016-08-15,0.4
,,2016-08-14,0.4
,,2016-08-13,0.4
